epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,14983.3,0.74704,0.40792,0.90699,0.77542,0.76041,0.7835,0.52299,1.19772,0.73227,1.2193,0.004159,0.004159,0.004159
120,15104.5,0.73943,0.40653,0.90339,0.76682,0.7662,0.78353,0.52288,1.19755,0.73194,1.21969,0.0041095,0.0041095,0.0041095
121,15239,0.7369,0.40376,0.90356,0.78429,0.74815,0.78306,0.52182,1.19745,0.73197,1.22006,0.00406,0.00406,0.00406
122,15366.5,0.73683,0.40739,0.90158,0.76933,0.76196,0.78303,0.52186,1.19771,0.7329,1.22063,0.0040105,0.0040105,0.0040105
123,15492,0.72486,0.39992,0.90011,0.77639,0.75416,0.78225,0.52153,1.19767,0.73366,1.22135,0.003961,0.003961,0.003961
124,15617.2,0.72167,0.39541,0.90164,0.7773,0.75509,0.78199,0.52136,1.19792,0.73376,1.2218,0.0039115,0.0039115,0.0039115
125,15742.8,0.72057,0.39691,0.8992,0.77329,0.75986,0.78167,0.5216,1.19774,0.73354,1.22243,0.003862,0.003862,0.003862
126,15880,0.71619,0.39439,0.89974,0.77754,0.75616,0.78343,0.52299,1.19787,0.73364,1.22297,0.0038125,0.0038125,0.0038125
127,16016,0.71247,0.39533,0.89565,0.77553,0.75839,0.78363,0.52201,1.19828,0.73401,1.22333,0.003763,0.003763,0.003763
128,16158,0.71427,0.39469,0.89505,0.77607,0.75855,0.78405,0.52171,1.19827,0.73371,1.22388,0.0037135,0.0037135,0.0037135
129,16287.8,0.70877,0.39393,0.89127,0.77518,0.75939,0.78336,0.52138,1.19892,0.73394,1.22458,0.003664,0.003664,0.003664
130,16422.5,0.70369,0.38594,0.89382,0.77474,0.75987,0.78408,0.52207,1.19919,0.73377,1.22522,0.0036145,0.0036145,0.0036145
131,16570.2,0.70267,0.39194,0.89547,0.78178,0.75212,0.78351,0.52179,1.19952,0.73495,1.22534,0.003565,0.003565,0.003565
132,16716.3,0.6978,0.39047,0.89151,0.77554,0.75921,0.78359,0.52245,1.19934,0.73553,1.22575,0.0035155,0.0035155,0.0035155
133,16860.2,0.69654,0.38642,0.88927,0.78373,0.75131,0.78395,0.52271,1.19961,0.73523,1.22616,0.003466,0.003466,0.003466
134,17005.9,0.68627,0.3803,0.88747,0.78182,0.75321,0.7839,0.52269,1.20013,0.73531,1.22667,0.0034165,0.0034165,0.0034165
135,17136.1,0.6904,0.38328,0.88606,0.78205,0.75368,0.78352,0.52228,1.20032,0.73555,1.22727,0.003367,0.003367,0.003367
136,17259.9,0.68535,0.37842,0.88499,0.78235,0.75354,0.78354,0.52164,1.20014,0.73474,1.22764,0.0033175,0.0033175,0.0033175
137,17383.5,0.68229,0.37876,0.88536,0.78239,0.75356,0.78335,0.52203,1.20062,0.73491,1.22829,0.003268,0.003268,0.003268
138,17513.5,0.67911,0.37873,0.88243,0.78303,0.75398,0.78312,0.52232,1.20038,0.73526,1.22814,0.0032185,0.0032185,0.0032185
139,17652.6,0.67477,0.37434,0.88463,0.78324,0.75472,0.78349,0.52262,1.20058,0.73508,1.22813,0.003169,0.003169,0.003169
140,17788.4,0.67258,0.37286,0.88287,0.78338,0.75546,0.78343,0.52235,1.20064,0.73561,1.22854,0.0031195,0.0031195,0.0031195
141,17929.1,0.67239,0.37005,0.88505,0.78385,0.75557,0.78358,0.52274,1.20084,0.73625,1.22891,0.00307,0.00307,0.00307
142,18071.7,0.66507,0.37264,0.87907,0.78387,0.75594,0.78453,0.52354,1.20089,0.73628,1.2291,0.0030205,0.0030205,0.0030205
143,18206.5,0.66469,0.36797,0.88149,0.78512,0.75609,0.78484,0.52293,1.20117,0.73598,1.22949,0.002971,0.002971,0.002971
144,18340.9,0.65799,0.36367,0.87835,0.78593,0.75617,0.78561,0.52401,1.20139,0.73603,1.22984,0.0029215,0.0029215,0.0029215
145,18465.5,0.66026,0.36587,0.87841,0.78581,0.75621,0.78584,0.52396,1.20122,0.73604,1.23001,0.002872,0.002872,0.002872
